"COUNTRY1","COUNTRY2","time","naive","obs","reich","ones","reich_ub","reich_lb"
"Korea, South","Austria",1,NA,NA,NA,1,NA,NA
"Korea, South","Austria",2,NA,NA,NA,1,NA,NA
"Korea, South","Austria",3,NA,NA,NA,1,NA,NA
"Korea, South","Austria",4,NA,NA,NA,1,NA,NA
"Korea, South","Austria",5,NA,NA,NA,1,NA,NA
"Korea, South","Austria",6,NA,NA,NA,1,NA,NA
"Korea, South","Austria",7,NA,NA,NA,1,NA,NA
"Korea, South","Austria",8,NA,NA,NA,1,NA,NA
"Korea, South","Austria",9,NA,NA,NA,1,NA,NA
"Korea, South","Austria",10,NA,NA,NA,1,NA,NA
"Korea, South","Austria",11,NA,NA,NA,1,NA,NA
"Korea, South","Austria",12,NA,NA,NA,1,NA,NA
"Korea, South","Austria",13,NA,NA,NA,1,NA,NA
"Korea, South","Austria",14,NA,NA,NA,1,NA,NA
"Korea, South","Austria",15,NA,NA,NA,1,NA,NA
"Korea, South","Austria",16,NA,NA,NA,1,NA,NA
"Korea, South","Austria",17,NA,NA,NA,1,NA,NA
"Korea, South","Austria",18,NA,NA,NA,1,NA,NA
"Korea, South","Austria",19,NA,NA,NA,1,NA,NA
"Korea, South","Austria",20,NA,NA,NA,1,NA,NA
"Korea, South","Austria",21,NA,NA,NA,1,NA,NA
"Korea, South","Austria",22,NA,NA,NA,1,NA,NA
"Korea, South","Austria",23,NA,NA,NA,1,NA,NA
"Korea, South","Austria",24,NA,NA,NA,1,NA,NA
"Korea, South","Austria",25,NA,NA,NA,1,NA,NA
"Korea, South","Austria",26,NA,NA,NA,1,NA,NA
"Korea, South","Austria",27,NA,NA,NA,1,NA,NA
"Korea, South","Austria",28,NA,NA,NA,1,NA,NA
"Korea, South","Austria",29,NA,NA,NA,1,NA,NA
"Korea, South","Austria",30,NA,NA,NA,1,NA,NA
"Korea, South","Austria",31,NA,NA,NA,1,NA,NA
"Korea, South","Austria",32,NA,NA,NA,1,NA,NA
"Korea, South","Austria",33,NA,NA,NA,1,NA,NA
"Korea, South","Austria",34,NA,NA,NA,1,NA,NA
"Korea, South","Austria",35,NA,NA,NA,1,NA,NA
"Korea, South","Austria",36,NA,NA,NA,1,NA,NA
"Korea, South","Austria",37,NA,NA,NA,1,NA,NA
"Korea, South","Austria",38,NA,NA,NA,1,NA,NA
"Korea, South","Austria",39,NA,NA,NA,1,NA,NA
"Korea, South","Austria",40,NA,NA,NA,1,NA,NA
"Korea, South","Austria",41,NA,NA,NA,1,NA,NA
"Korea, South","Austria",42,NA,NA,NA,1,NA,NA
"Korea, South","Austria",43,NA,NA,NA,1,NA,NA
"Korea, South","Austria",44,NA,NA,NA,1,NA,NA
"Korea, South","Austria",45,NA,NA,NA,1,NA,NA
"Korea, South","Austria",46,NA,NA,NA,1,NA,NA
"Korea, South","Austria",47,NA,NA,NA,1,NA,NA
"Korea, South","Austria",48,NA,NA,NA,1,NA,NA
"Korea, South","Austria",49,NA,NA,NA,1,NA,NA
"Korea, South","Austria",50,NA,NA,NA,1,NA,NA
"Korea, South","Austria",51,NA,NA,NA,1,NA,NA
"Korea, South","Austria",52,NA,NA,NA,1,NA,NA
"Korea, South","Austria",53,NA,NA,NA,1,NA,NA
"Korea, South","Austria",54,NA,NA,NA,1,NA,NA
"Korea, South","Austria",55,NA,NA,NA,1,NA,NA
"Korea, South","Austria",56,NA,NA,NA,1,NA,NA
"Korea, South","Austria",57,NA,NA,NA,1,NA,NA
"Korea, South","Austria",58,NA,NA,NA,1,NA,NA
"Korea, South","Austria",59,NA,NA,NA,1,NA,NA
"Korea, South","Austria",60,NA,NA,NA,1,NA,NA
"Korea, South","Austria",61,NA,NA,NA,1,NA,NA
"Korea, South","Austria",62,NA,NA,NA,1,NA,NA
"Korea, South","Austria",63,NA,NA,NA,1,NA,NA
"Korea, South","Austria",64,NA,NA,NA,1,NA,NA
"Korea, South","Austria",65,NA,NA,NA,1,NA,NA
"Korea, South","Austria",66,NA,NA,NA,1,NA,NA
"Korea, South","Austria",67,NA,NA,NA,1,NA,NA
"Korea, South","Austria",68,NA,NA,NA,1,NA,NA
"Korea, South","Austria",69,NA,NA,NA,1,NA,NA
"Korea, South","Austria",70,NA,NA,NA,1,NA,NA
"Korea, South","Austria",71,NA,NA,NA,1,NA,NA
"Korea, South","Austria",72,0.84,2.73,0.84,1,0.96,0.63
"Korea, South","Austria",73,0.91,2.54,1.13,1,1.29,0.88
"Korea, South","Austria",74,0.95,2.31,1.27,1,1.42,1.02
"Korea, South","Austria",75,0.99,2.18,1.39,1,1.47,1.14
"Korea, South","Austria",76,1.03,2.03,1.48,1,1.48,1.05
"Korea, South","Austria",77,1.1,1.99,0.91,1,1.24,0.69
"Korea, South","Austria",78,1.14,1.88,1.62,1,1.72,1.14
"Korea, South","Austria",79,1.18,1.76,1.2,1,1.35,0.95
"Korea, South","Austria",80,1.21,1.72,1.2,1,1.38,0.94
"Korea, South","Austria",81,1.23,1.69,1.37,1,1.84,0.91
"Korea, South","Austria",82,1.27,1.69,1.32,1,1.82,0.89
"Korea, South","Austria",83,1.28,1.67,1.25,1,1.75,0.85
"Korea, South","Austria",84,1.29,1.61,1.21,1,1.7,0.83
"Korea, South","Austria",85,1.31,1.52,1.17,1,1.61,0.81
"Korea, South","Austria",86,1.37,1.49,1.15,1,1.55,0.83
